accion,threads,tiempo
Carga,1,2.888408400
Carga,1,2.750855300
Carga,1,2.817992400
Carga,1,2.850561200
Carga,1,2.881605600
Carga,1,2.657003600
Carga,1,2.714258400
Carga,1,2.613009400
Carga,1,2.827867600
Carga,1,2.932098100
Carga,2,2.453925900
Carga,2,2.535289800
Carga,2,2.655836800
Carga,2,2.585148200
Carga,2,2.509734400
Carga,2,2.489209800
Carga,2,2.638503400
Carga,2,2.546276400
Carga,2,2.460444600
Carga,2,2.389998000
Carga,3,2.582114400
Carga,3,2.437213600
Carga,3,2.508447400
Carga,3,2.443883300
Carga,3,2.798596800
Carga,3,2.802226900
Carga,3,2.905926600
Carga,3,2.793983000
Carga,3,2.842410400
Carga,3,2.734302800
Carga,4,3.402768100
Carga,4,3.469644300
Carga,4,3.446111200
Carga,4,3.654210500
Carga,4,3.654226500
Carga,4,3.684129500
Carga,4,3.838485000
Carga,4,3.749981400
Carga,4,3.866232500
Carga,4,3.904345600
Carga,5,4.58137400
Carga,5,4.254155000
Carga,5,4.399992300
Carga,5,4.434882900
Carga,5,4.464587300
Carga,5,4.402641600
Carga,5,4.468600800
Carga,5,4.923622000
Carga,5,5.228179800
Carga,5,5.128150100
Carga,6,5.51509400
Carga,6,4.854635200
Carga,6,5.63008300
Carga,6,5.533971800
Carga,6,4.919781200
Carga,6,4.796168300
Carga,6,4.678424700
Carga,6,4.884417400
Carga,6,4.498047700
Carga,6,5.236176800
Carga,7,5.459072200
Carga,7,5.338884700
Carga,7,4.576894700
Carga,7,4.418836900
Carga,7,4.363320500
Carga,7,4.227250700
Carga,7,4.152106400
Carga,7,4.184143000
Carga,7,4.173420000
Carga,7,4.95235500
Carga,8,4.598310600
Carga,8,4.643617900
Carga,8,4.786556300
Carga,8,4.881827000
Carga,8,5.20014500
Carga,8,5.241102800
Carga,8,5.624244100
Carga,8,6.156354500
Carga,8,6.939901700
Carga,8,7.308256100
