accion,threads,tiempo
Máximo,1,0.448600
Máximo,1,0.559300
Máximo,1,0.686200
Máximo,1,0.848800
Máximo,1,0.690900
Máximo,1,0.771100
Máximo,1,0.839600
Máximo,1,0.839900
Máximo,1,0.1107800
Máximo,1,0.827300
Máximo,1,0.574600
Máximo,1,0.757400
Máximo,1,0.560600
Máximo,1,0.781300
Máximo,1,0.877900
Máximo,1,0.535300
Máximo,1,0.475400
Máximo,1,0.458400
Máximo,1,0.1162800
Máximo,1,0.563800
Máximo,1,0.662700
Máximo,1,0.475900
Máximo,1,0.469900
Máximo,1,0.972000
Máximo,1,0.750100
Máximo,1,0.522700
Máximo,1,0.431000
Máximo,1,0.397600
Máximo,1,0.407100
Máximo,1,0.868000
Máximo,1,0.541800
Máximo,1,0.462200
Máximo,1,0.424400
Máximo,1,0.410000
Máximo,1,0.475900
Máximo,1,0.492000
Máximo,1,0.518200
Máximo,1,0.431900
Máximo,1,0.434100
Máximo,1,0.369800
Máximo,1,0.378100
Máximo,1,0.367500
Máximo,1,0.415000
Máximo,1,0.500500
Máximo,1,0.455000
Máximo,1,0.381800
Máximo,1,0.451200
Máximo,1,0.426900
Máximo,1,0.376900
Máximo,1,0.459200
Máximo,1,0.442400
Máximo,1,0.364100
Máximo,1,0.368600
Máximo,1,0.382000
Máximo,1,0.378000
Máximo,1,0.354900
Máximo,1,0.400400
Máximo,1,0.392800
Máximo,1,0.379900
Máximo,1,0.422000
Máximo,1,0.376900
Máximo,1,0.340700
Máximo,1,0.358900
Máximo,1,0.401500
Máximo,1,0.380600
Máximo,1,0.377800
Máximo,1,0.378000
Máximo,1,0.382400
Máximo,1,0.406100
Máximo,1,0.378400
Máximo,1,0.359200
Máximo,1,0.362200
Máximo,1,0.384200
Máximo,1,0.374400
Máximo,1,0.385100
Máximo,1,0.369900
Máximo,1,0.359200
Máximo,1,0.379700
Máximo,1,0.371400
Máximo,1,0.381300
Máximo,1,0.480400
Máximo,1,0.514000
Máximo,1,0.395900
Máximo,1,0.408200
Máximo,1,0.404600
Máximo,1,0.402100
Máximo,1,0.379400
Máximo,1,0.399400
Máximo,1,0.349200
Máximo,1,0.380000
Máximo,1,0.372800
Máximo,1,0.429000
Máximo,1,0.389800
Máximo,1,0.384000
Máximo,1,0.357200
Máximo,1,0.354200
Máximo,1,0.381300
Máximo,1,0.375400
Máximo,1,0.438100
Máximo,1,0.383300
Máximo,2,0.252900
Máximo,2,0.256100
Máximo,2,0.258500
Máximo,2,0.266100
Máximo,2,0.241000
Máximo,2,0.236900
Máximo,2,0.270200
Máximo,2,0.239300
Máximo,2,0.261500
Máximo,2,0.246300
Máximo,2,0.275500
Máximo,2,0.236900
Máximo,2,0.247200
Máximo,2,0.238400
Máximo,2,0.278400
Máximo,2,0.243700
Máximo,2,0.255900
Máximo,2,0.245200
Máximo,2,0.238600
Máximo,2,0.245900
Máximo,2,0.229500
Máximo,2,0.238800
Máximo,2,0.220400
Máximo,2,0.204900
Máximo,2,0.204800
Máximo,2,0.196700
Máximo,2,0.195700
Máximo,2,0.219100
Máximo,2,0.244700
Máximo,2,0.320000
Máximo,2,0.259500
Máximo,2,0.233900
Máximo,2,0.255500
Máximo,2,0.257800
Máximo,2,0.244200
Máximo,2,0.242000
Máximo,2,0.237100
Máximo,2,0.241400
Máximo,2,0.236500
Máximo,2,0.234000
Máximo,2,0.302200
Máximo,2,0.251300
Máximo,2,0.238400
Máximo,2,0.241100
Máximo,2,0.238100
Máximo,2,0.244300
Máximo,2,0.230900
Máximo,2,0.230600
Máximo,2,0.312300
Máximo,2,0.244500
Máximo,2,0.239600
Máximo,2,0.234900
Máximo,2,0.232800
Máximo,2,0.217500
Máximo,2,0.251300
Máximo,2,0.259200
Máximo,2,0.255600
Máximo,2,0.245700
Máximo,2,0.230300
Máximo,2,0.221400
Máximo,2,0.246600
Máximo,2,0.281200
Máximo,2,0.238000
Máximo,2,0.254600
Máximo,2,0.229000
Máximo,2,0.253600
Máximo,2,0.245900
Máximo,2,0.227200
Máximo,2,0.247700
Máximo,2,0.235200
Máximo,2,0.239600
Máximo,2,0.248000
Máximo,2,0.266800
Máximo,2,0.238600
Máximo,2,0.249800
Máximo,2,0.240200
Máximo,2,0.244100
Máximo,2,0.235000
Máximo,2,0.234100
Máximo,2,0.227600
Máximo,2,0.254400
Máximo,2,0.339700
Máximo,2,0.269400
Máximo,2,0.248900
Máximo,2,0.257200
Máximo,2,0.226900
Máximo,2,0.227700
Máximo,2,0.245800
Máximo,2,0.238300
Máximo,2,0.251200
Máximo,2,0.243700
Máximo,2,0.228000
Máximo,2,0.230100
Máximo,2,0.241700
Máximo,2,0.310200
Máximo,2,0.219600
Máximo,2,0.243000
Máximo,2,0.230800
Máximo,2,0.269400
Máximo,2,0.246300
Máximo,3,0.229100
Máximo,3,0.221100
Máximo,3,0.234300
Máximo,3,0.227000
Máximo,3,0.228500
Máximo,3,0.226800
Máximo,3,0.279000
Máximo,3,0.229800
Máximo,3,0.230200
Máximo,3,0.209900
Máximo,3,0.231800
Máximo,3,0.240900
Máximo,3,0.240600
Máximo,3,0.215400
Máximo,3,0.242300
Máximo,3,0.237500
Máximo,3,0.217100
Máximo,3,0.230600
Máximo,3,0.223700
Máximo,3,0.235800
Máximo,3,0.238700
